#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1278767.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1263501.00       	 4.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1266993.00       	 6.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1262247.00       	 7.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1253572.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1248303.00       	 4.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1323842.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1274654.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1247790.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4639173.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4658421.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4682762.00       	 10.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4692361.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4742142.00       	 8.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4673672.00       	 14.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4744154.00       	 12.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4739312.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4707652.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4724010.00       	 22.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2040635.00       	 6.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2090651.00       	 7.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2043369.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2025975.00       	 7.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
